,age,workclass,education_num,marital_status,occupation,relationship,race,sex,capital_change,hours_per_week,native_country,income
38,48.0,5,12.0,2.0,9,0.0,4.0,1.0,0.0,40.0,1.0,0
39,31.0,3,5.0,2.0,6,0.0,4.0,1.0,0.0,43.0,1.0,0
40,53.0,5,13.0,2.0,9,0.0,4.0,1.0,0.0,40.0,1.0,0
41,24.0,3,13.0,2.0,12,0.0,4.0,1.0,0.0,50.0,1.0,0
42,49.0,3,9.0,5.0,0,4.0,4.0,0.0,0.0,40.0,1.0,0
43,25.0,3,9.0,4.0,5,1.0,4.0,1.0,0.0,35.0,1.0,0
44,57.0,0,13.0,2.0,9,0.0,2.0,1.0,0.0,40.0,1.0,1
45,53.0,3,9.0,2.0,6,0.0,4.0,1.0,0.0,38.0,1.0,0
46,44.0,3,14.0,0.0,3,4.0,4.0,0.0,0.0,40.0,1.0,0
47,41.0,6,11.0,2.0,2,0.0,4.0,1.0,0.0,40.0,1.0,0
48,29.0,3,11.0,4.0,9,1.0,4.0,1.0,0.0,43.0,1.0,0
49,25.0,3,10.0,2.0,3,5.0,3.0,0.0,0.0,40.0,1.0,0
50,18.0,3,9.0,4.0,7,3.0,4.0,0.0,0.0,30.0,0.0,0
51,47.0,3,15.0,2.0,9,5.0,4.0,0.0,-1902.0,60.0,0.0,1
52,50.0,0,13.0,0.0,3,1.0,4.0,1.0,0.0,55.0,1.0,1
53,47.0,4,9.0,0.0,3,1.0,4.0,1.0,0.0,60.0,1.0,0
54,43.0,3,10.0,2.0,12,0.0,4.0,1.0,0.0,40.0,1.0,1
55,46.0,3,3.0,2.0,6,0.0,4.0,1.0,0.0,40.0,0.0,0
56,35.0,3,11.0,2.0,7,0.0,4.0,1.0,0.0,40.0,0.0,0
57,41.0,3,9.0,2.0,0,0.0,4.0,1.0,0.0,48.0,1.0,0
58,30.0,3,9.0,2.0,6,0.0,4.0,1.0,5013.0,40.0,1.0,0
59,30.0,3,13.0,2.0,11,0.0,4.0,1.0,2407.0,40.0,1.0,0
60,32.0,3,4.0,3.0,2,1.0,4.0,1.0,0.0,40.0,0.0,0
61,48.0,3,9.0,2.0,13,0.0,4.0,1.0,0.0,40.0,1.0,0
62,42.0,3,16.0,2.0,9,0.0,4.0,1.0,0.0,45.0,1.0,1
63,29.0,3,10.0,0.0,12,1.0,4.0,1.0,0.0,58.0,1.0,0
64,36.0,3,9.0,2.0,2,0.0,4.0,1.0,0.0,40.0,1.0,0
65,28.0,3,10.0,0.0,0,1.0,4.0,0.0,0.0,40.0,1.0,0
66,53.0,3,9.0,2.0,0,5.0,4.0,0.0,0.0,40.0,1.0,1
67,49.0,4,10.0,2.0,3,0.0,4.0,1.0,0.0,50.0,1.0,1
68,25.0,3,10.0,4.0,10,3.0,4.0,1.0,0.0,40.0,1.0,0
69,19.0,3,10.0,4.0,9,3.0,4.0,1.0,0.0,32.0,1.0,0
70,31.0,3,13.0,5.0,11,3.0,2.0,0.0,0.0,40.0,1.0,0
71,29.0,5,13.0,2.0,11,0.0,4.0,1.0,0.0,70.0,1.0,1
72,23.0,3,10.0,4.0,6,1.0,4.0,1.0,0.0,40.0,1.0,0
73,79.0,3,10.0,2.0,9,2.0,4.0,1.0,0.0,20.0,1.0,0
74,27.0,3,9.0,4.0,7,3.0,4.0,1.0,0.0,40.0,0.0,0
75,40.0,3,12.0,2.0,0,0.0,4.0,1.0,0.0,40.0,1.0,0
76,67.0,3,6.0,2.0,5,0.0,4.0,1.0,0.0,2.0,1.0,0
77,18.0,3,7.0,4.0,7,3.0,4.0,0.0,0.0,22.0,1.0,0
78,31.0,1,4.0,2.0,4,0.0,4.0,1.0,0.0,40.0,1.0,0
79,18.0,3,9.0,4.0,11,1.0,4.0,1.0,0.0,30.0,1.0,0
80,52.0,3,13.0,2.0,7,0.0,4.0,1.0,0.0,40.0,0.0,0
81,46.0,3,9.0,2.0,7,5.0,4.0,0.0,0.0,40.0,1.0,0
82,59.0,3,9.0,2.0,11,0.0,4.0,1.0,0.0,48.0,1.0,0
83,44.0,3,9.0,0.0,2,1.0,4.0,0.0,14344.0,40.0,1.0,1
84,53.0,3,9.0,0.0,11,3.0,4.0,0.0,0.0,35.0,1.0,0
85,49.0,1,9.0,2.0,10,0.0,4.0,1.0,0.0,40.0,1.0,1
86,33.0,3,14.0,2.0,9,0.0,4.0,1.0,0.0,50.0,1.0,0
87,30.0,3,5.0,4.0,11,1.0,4.0,1.0,0.0,40.0,1.0,0
88,43.0,0,16.0,4.0,9,1.0,4.0,0.0,0.0,50.0,1.0,1
89,57.0,3,11.0,2.0,9,0.0,4.0,1.0,0.0,40.0,1.0,0
90,37.0,3,10.0,0.0,2,4.0,4.0,0.0,0.0,40.0,1.0,0
91,28.0,3,10.0,0.0,6,4.0,2.0,0.0,0.0,25.0,1.0,0
92,30.0,3,9.0,2.0,11,5.0,1.0,0.0,-1573.0,35.0,0.0,0
93,34.0,1,13.0,2.0,10,0.0,4.0,1.0,0.0,40.0,1.0,1
94,29.0,1,10.0,4.0,5,1.0,4.0,1.0,0.0,50.0,1.0,0
95,48.0,5,16.0,2.0,9,0.0,4.0,1.0,-1902.0,60.0,1.0,1
96,37.0,3,10.0,2.0,11,0.0,4.0,1.0,0.0,48.0,1.0,1
97,48.0,3,12.0,0.0,3,4.0,4.0,0.0,0.0,40.0,0.0,0
98,32.0,0,9.0,4.0,7,3.0,2.0,1.0,0.0,40.0,1.0,0
99,76.0,3,14.0,2.0,3,0.0,4.0,1.0,0.0,40.0,1.0,1
100,44.0,3,13.0,2.0,3,0.0,4.0,1.0,15024.0,60.0,1.0,1
101,47.0,5,14.0,4.0,9,1.0,4.0,0.0,0.0,50.0,1.0,0
102,20.0,3,10.0,4.0,12,3.0,4.0,0.0,0.0,40.0,1.0,0
103,29.0,3,9.0,4.0,2,1.0,4.0,1.0,0.0,40.0,1.0,0
104,32.0,4,9.0,2.0,2,0.0,4.0,1.0,7688.0,40.0,1.0,1
105,17.0,3,6.0,4.0,7,3.0,4.0,0.0,34095.0,32.0,1.0,0
106,30.0,3,7.0,4.0,5,3.0,4.0,1.0,0.0,40.0,1.0,0
107,31.0,1,9.0,4.0,0,1.0,4.0,0.0,0.0,40.0,1.0,0
108,42.0,3,9.0,2.0,5,0.0,4.0,1.0,0.0,40.0,1.0,0
109,24.0,3,13.0,4.0,11,2.0,4.0,1.0,0.0,40.0,1.0,0
110,38.0,3,15.0,2.0,9,0.0,4.0,1.0,0.0,40.0,1.0,1
111,56.0,5,9.0,2.0,7,0.0,4.0,1.0,-1887.0,50.0,0.0,1
112,28.0,3,10.0,2.0,11,5.0,4.0,0.0,4064.0,25.0,1.0,0
113,36.0,3,9.0,4.0,6,3.0,4.0,0.0,0.0,40.0,1.0,0
114,53.0,3,5.0,2.0,5,0.0,4.0,1.0,0.0,50.0,1.0,0
115,56.0,4,10.0,2.0,11,0.0,4.0,1.0,0.0,50.0,1.0,0
116,49.0,1,11.0,2.0,2,0.0,2.0,1.0,0.0,40.0,1.0,1
117,55.0,3,10.0,2.0,11,0.0,4.0,1.0,0.0,56.0,1.0,0
118,22.0,3,9.0,4.0,2,1.0,4.0,1.0,0.0,41.0,1.0,0
119,21.0,3,10.0,4.0,7,3.0,4.0,0.0,0.0,40.0,1.0,0
120,40.0,3,13.0,2.0,3,0.0,4.0,1.0,0.0,60.0,1.0,0
121,30.0,3,13.0,4.0,3,3.0,2.0,1.0,0.0,40.0,0.0,0
122,29.0,6,13.0,2.0,9,0.0,4.0,1.0,0.0,50.0,1.0,1
123,19.0,3,10.0,4.0,7,3.0,2.0,1.0,0.0,35.0,1.0,0
124,47.0,3,13.0,2.0,3,5.0,4.0,0.0,0.0,40.0,1.0,1
125,20.0,3,10.0,4.0,0,3.0,4.0,0.0,-1719.0,28.0,1.0,0
126,31.0,3,12.0,2.0,0,0.0,4.0,1.0,0.0,40.0,1.0,1
127,35.0,4,9.0,2.0,3,0.0,4.0,1.0,0.0,40.0,1.0,0
128,39.0,3,10.0,0.0,2,1.0,4.0,1.0,0.0,40.0,1.0,0
129,28.0,3,12.0,4.0,11,1.0,4.0,0.0,0.0,60.0,1.0,0
130,24.0,3,9.0,4.0,7,1.0,4.0,0.0,-1762.0,40.0,1.0,0
131,38.0,5,9.0,2.0,2,0.0,4.0,1.0,4386.0,35.0,1.0,0
132,37.0,3,13.0,2.0,11,0.0,4.0,1.0,0.0,50.0,1.0,0
133,46.0,3,12.0,0.0,12,1.0,2.0,0.0,0.0,36.0,1.0,0
134,38.0,0,14.0,2.0,9,0.0,4.0,1.0,0.0,40.0,0.0,1
135,43.0,5,9.0,2.0,2,0.0,4.0,1.0,0.0,60.0,1.0,0
136,27.0,3,11.0,2.0,0,5.0,4.0,0.0,0.0,35.0,1.0,0
137,20.0,3,10.0,4.0,11,3.0,4.0,1.0,0.0,20.0,1.0,0
138,49.0,3,10.0,2.0,2,0.0,1.0,1.0,0.0,40.0,1.0,1
139,61.0,4,9.0,2.0,2,0.0,4.0,1.0,0.0,40.0,1.0,0
140,27.0,3,10.0,4.0,11,3.0,4.0,0.0,0.0,40.0,1.0,0
141,19.0,3,10.0,4.0,7,3.0,4.0,1.0,0.0,30.0,0.0,0
142,45.0,3,11.0,4.0,9,1.0,4.0,0.0,-1564.0,40.0,1.0,1
143,70.0,3,10.0,4.0,12,2.0,4.0,1.0,0.0,40.0,1.0,0
144,31.0,3,9.0,4.0,13,4.0,2.0,0.0,0.0,30.0,1.0,0
145,22.0,3,10.0,2.0,7,0.0,4.0,1.0,0.0,24.0,1.0,0
146,36.0,3,9.0,6.0,7,4.0,4.0,0.0,0.0,24.0,1.0,0
147,64.0,3,7.0,2.0,2,0.0,4.0,1.0,-2179.0,40.0,1.0,0
148,43.0,2,10.0,0.0,0,1.0,4.0,0.0,0.0,40.0,1.0,0
149,47.0,1,10.0,0.0,0,4.0,4.0,0.0,0.0,38.0,0.0,0
150,34.0,3,9.0,4.0,0,1.0,4.0,0.0,0.0,40.0,1.0,0
151,33.0,3,13.0,4.0,3,2.0,1.0,0.0,0.0,40.0,0.0,0
152,21.0,3,9.0,4.0,2,3.0,4.0,1.0,0.0,35.0,1.0,0
153,52.0,2,9.0,0.0,8,1.0,4.0,1.0,0.0,45.0,1.0,1
154,48.0,3,9.0,2.0,2,0.0,4.0,1.0,0.0,46.0,1.0,0
155,23.0,3,13.0,4.0,5,1.0,4.0,1.0,0.0,40.0,1.0,0
156,71.0,5,10.0,5.0,11,4.0,2.0,1.0,-1816.0,2.0,1.0,0
157,29.0,3,9.0,0.0,2,1.0,4.0,1.0,0.0,60.0,1.0,0
158,42.0,3,13.0,5.0,7,2.0,2.0,1.0,0.0,50.0,1.0,0
159,68.0,3,2.0,0.0,7,1.0,4.0,0.0,0.0,20.0,1.0,0
160,25.0,3,9.0,4.0,7,4.0,4.0,0.0,0.0,40.0,1.0,0
161,44.0,4,14.0,0.0,3,4.0,1.0,0.0,0.0,40.0,1.0,0
162,28.0,3,9.0,4.0,3,1.0,1.0,0.0,0.0,40.0,0.0,0
163,45.0,5,14.0,2.0,11,0.0,4.0,1.0,0.0,40.0,1.0,1
164,36.0,3,10.0,0.0,7,4.0,4.0,0.0,0.0,40.0,0.0,0
165,39.0,0,12.0,4.0,3,1.0,4.0,1.0,0.0,42.0,1.0,0
166,46.0,6,14.0,6.0,10,4.0,4.0,1.0,0.0,40.0,1.0,0
167,18.0,3,7.0,4.0,5,3.0,4.0,1.0,0.0,16.0,1.0,0
168,66.0,1,11.0,6.0,9,1.0,4.0,0.0,0.0,20.0,1.0,0
169,27.0,3,9.0,4.0,7,1.0,4.0,1.0,-1980.0,40.0,1.0,0
170,28.0,6,9.0,2.0,10,0.0,4.0,1.0,0.0,40.0,1.0,0
171,51.0,3,10.0,2.0,11,0.0,4.0,1.0,-1977.0,40.0,1.0,1
172,27.0,3,13.0,4.0,2,1.0,4.0,1.0,0.0,50.0,1.0,0
173,28.0,6,13.0,2.0,9,0.0,4.0,1.0,0.0,40.0,1.0,1
174,27.0,3,9.0,3.0,11,4.0,4.0,0.0,0.0,25.0,1.0,0
175,21.0,3,9.0,4.0,2,3.0,2.0,1.0,0.0,40.0,1.0,0
176,34.0,3,9.0,4.0,5,1.0,2.0,1.0,0.0,40.0,1.0,0
177,18.0,3,9.0,4.0,7,3.0,4.0,1.0,0.0,12.0,1.0,0
178,33.0,3,13.0,2.0,9,0.0,4.0,1.0,0.0,65.0,1.0,0
179,44.0,1,10.0,2.0,3,0.0,2.0,1.0,0.0,38.0,1.0,1
180,43.0,3,10.0,0.0,0,1.0,4.0,0.0,0.0,40.0,1.0,0
181,30.0,3,10.0,4.0,2,1.0,2.0,1.0,0.0,45.0,1.0,0
182,40.0,3,4.0,2.0,6,0.0,4.0,1.0,0.0,40.0,0.0,1
183,37.0,0,10.0,2.0,0,0.0,4.0,1.0,0.0,42.0,1.0,1
184,34.0,3,9.0,2.0,0,0.0,2.0,1.0,0.0,40.0,1.0,0
185,41.0,5,13.0,0.0,3,1.0,4.0,0.0,0.0,40.0,1.0,0
186,53.0,5,13.0,0.0,4,1.0,4.0,0.0,0.0,50.0,1.0,0
187,31.0,3,14.0,2.0,9,5.0,4.0,0.0,0.0,50.0,1.0,0
188,58.0,6,16.0,2.0,9,0.0,4.0,1.0,0.0,1.0,1.0,1
189,38.0,3,10.0,0.0,6,1.0,2.0,0.0,0.0,28.0,1.0,0
190,24.0,3,10.0,2.0,6,0.0,4.0,1.0,0.0,40.0,1.0,0
191,41.0,1,13.0,2.0,2,0.0,2.0,1.0,0.0,40.0,1.0,0
192,47.0,3,10.0,2.0,12,0.0,4.0,1.0,0.0,45.0,1.0,0
193,41.0,0,13.0,2.0,12,0.0,4.0,1.0,0.0,24.0,1.0,0
194,23.0,3,3.0,2.0,13,2.0,4.0,1.0,0.0,40.0,0.0,0
195,36.0,3,10.0,0.0,2,1.0,4.0,1.0,0.0,40.0,1.0,0
196,40.0,0,14.0,4.0,3,1.0,4.0,0.0,14084.0,55.0,1.0,1
197,35.0,3,14.0,2.0,9,2.0,4.0,1.0,7298.0,40.0,1.0,1
198,24.0,5,9.0,4.0,11,1.0,4.0,1.0,0.0,40.0,1.0,0
199,26.0,3,14.0,4.0,9,1.0,4.0,0.0,-1876.0,40.0,1.0,0
200,19.0,3,9.0,4.0,7,3.0,4.0,1.0,0.0,40.0,0.0,0
201,51.0,3,13.0,2.0,3,0.0,4.0,1.0,0.0,50.0,1.0,1
202,42.0,1,10.0,4.0,9,1.0,4.0,0.0,-1340.0,40.0,1.0,0
203,37.0,6,9.0,0.0,0,4.0,4.0,0.0,0.0,35.0,1.0,0
204,18.0,3,7.0,4.0,11,3.0,4.0,0.0,0.0,40.0,1.0,0
205,36.0,3,13.0,2.0,7,0.0,2.0,1.0,7298.0,36.0,1.0,1
206,35.0,3,9.0,0.0,2,1.0,4.0,1.0,0.0,60.0,1.0,0
207,58.0,4,9.0,2.0,11,5.0,4.0,0.0,15024.0,35.0,1.0,1
208,17.0,3,7.0,4.0,11,3.0,4.0,0.0,0.0,12.0,1.0,0
209,44.0,1,9.0,2.0,13,0.0,2.0,1.0,0.0,40.0,1.0,0
210,37.0,3,9.0,2.0,2,0.0,4.0,1.0,0.0,40.0,1.0,1
211,35.0,3,10.0,4.0,11,1.0,0.0,0.0,0.0,40.0,1.0,0
212,60.0,3,9.0,2.0,2,0.0,1.0,1.0,0.0,40.0,1.0,0
213,54.0,4,4.0,2.0,6,0.0,4.0,1.0,0.0,40.0,1.0,1
214,37.0,3,13.0,4.0,3,1.0,2.0,1.0,0.0,60.0,1.0,1
215,50.0,3,12.0,0.0,11,1.0,4.0,0.0,0.0,40.0,1.0,0
216,38.0,3,13.0,2.0,11,0.0,4.0,1.0,0.0,50.0,0.0,0
217,45.0,3,13.0,2.0,9,0.0,4.0,1.0,0.0,55.0,1.0,0
218,25.0,3,6.0,4.0,2,1.0,4.0,1.0,0.0,40.0,1.0,0
219,31.0,3,10.0,2.0,5,0.0,4.0,1.0,0.0,40.0,1.0,0
220,64.0,3,2.0,0.0,8,1.0,4.0,1.0,0.0,40.0,1.0,0
221,90.0,3,9.0,4.0,7,1.0,2.0,1.0,-2206.0,40.0,1.0,0
222,54.0,3,9.0,2.0,0,0.0,2.0,1.0,0.0,20.0,1.0,0
223,53.0,1,1.0,4.0,6,1.0,4.0,0.0,0.0,35.0,1.0,0
224,18.0,3,9.0,4.0,11,3.0,4.0,0.0,0.0,40.0,1.0,0
225,60.0,5,6.0,0.0,3,1.0,0.0,0.0,0.0,10.0,1.0,0
226,66.0,5,9.0,2.0,4,0.0,4.0,1.0,1409.0,50.0,1.0,0
227,75.0,3,11.0,6.0,0,1.0,4.0,0.0,0.0,20.0,0.0,0
228,65.0,3,9.0,0.0,0,1.0,4.0,0.0,0.0,40.0,1.0,0
229,35.0,3,7.0,5.0,13,1.0,2.0,1.0,3674.0,40.0,1.0,0
230,41.0,3,9.0,0.0,11,4.0,2.0,0.0,0.0,38.0,1.0,0
231,25.0,3,10.0,4.0,0,1.0,4.0,1.0,0.0,42.0,1.0,0
232,33.0,3,10.0,0.0,2,2.0,3.0,0.0,0.0,40.0,1.0,0
233,28.0,3,15.0,4.0,9,1.0,4.0,1.0,0.0,55.0,1.0,1
234,59.0,6,9.0,2.0,7,0.0,4.0,1.0,0.0,40.0,1.0,0
235,40.0,6,10.0,4.0,0,1.0,4.0,0.0,0.0,38.0,1.0,0
236,41.0,3,13.0,2.0,3,0.0,4.0,1.0,0.0,50.0,0.0,1
237,38.0,1,14.0,2.0,3,0.0,4.0,1.0,0.0,70.0,1.0,1
238,23.0,3,9.0,4.0,13,3.0,4.0,1.0,0.0,40.0,1.0,0
239,40.0,3,13.0,2.0,9,0.0,4.0,1.0,0.0,40.0,1.0,1
240,41.0,5,9.0,2.0,7,5.0,4.0,0.0,0.0,20.0,1.0,0
241,24.0,6,12.0,2.0,10,0.0,4.0,1.0,0.0,50.0,1.0,0
242,20.0,3,10.0,4.0,9,3.0,4.0,1.0,0.0,20.0,1.0,0
243,38.0,3,10.0,0.0,2,1.0,4.0,1.0,-1741.0,40.0,1.0,0
244,56.0,3,9.0,2.0,0,0.0,4.0,1.0,0.0,35.0,0.0,0
245,58.0,3,9.0,2.0,0,0.0,4.0,1.0,0.0,45.0,1.0,1
246,32.0,3,9.0,4.0,7,1.0,4.0,0.0,0.0,34.0,1.0,0
247,40.0,3,12.0,2.0,12,0.0,4.0,1.0,-1977.0,60.0,1.0,1
248,45.0,3,9.0,2.0,0,0.0,4.0,1.0,0.0,40.0,0.0,0
249,41.0,3,15.0,2.0,9,5.0,4.0,0.0,0.0,40.0,1.0,1
250,42.0,3,13.0,2.0,0,5.0,2.0,0.0,0.0,40.0,1.0,0
251,59.0,1,6.0,6.0,7,4.0,2.0,0.0,0.0,30.0,1.0,0
252,19.0,1,10.0,4.0,0,3.0,4.0,1.0,0.0,40.0,1.0,0
253,58.0,3,10.0,4.0,13,1.0,4.0,1.0,0.0,20.0,1.0,0
254,42.0,5,9.0,2.0,4,0.0,1.0,1.0,0.0,40.0,0.0,1
255,20.0,3,9.0,4.0,7,3.0,4.0,0.0,0.0,40.0,1.0,0
256,32.0,3,9.0,5.0,7,1.0,4.0,0.0,0.0,30.0,1.0,0
257,45.0,3,11.0,6.0,3,1.0,4.0,0.0,0.0,45.0,1.0,0
258,50.0,3,4.0,0.0,2,1.0,4.0,1.0,0.0,40.0,1.0,0
259,36.0,3,13.0,0.0,9,3.0,4.0,0.0,0.0,40.0,1.0,0
260,45.0,3,9.0,2.0,11,0.0,4.0,1.0,0.0,60.0,1.0,0
261,17.0,3,7.0,4.0,7,3.0,4.0,1.0,0.0,12.0,1.0,0
262,59.0,3,10.0,2.0,11,0.0,4.0,1.0,4064.0,40.0,1.0,0
263,26.0,3,7.0,2.0,2,0.0,4.0,1.0,0.0,40.0,1.0,0
264,37.0,4,10.0,2.0,3,0.0,1.0,1.0,0.0,75.0,0.0,1
265,19.0,3,10.0,4.0,7,3.0,4.0,1.0,0.0,24.0,0.0,0
266,64.0,3,9.0,2.0,3,0.0,4.0,1.0,0.0,40.0,1.0,1
267,33.0,3,13.0,4.0,9,1.0,4.0,0.0,0.0,45.0,1.0,0
268,33.0,3,9.0,2.0,2,5.0,4.0,0.0,0.0,40.0,1.0,1
269,61.0,3,9.0,2.0,3,0.0,4.0,1.0,0.0,40.0,1.0,1
270,17.0,3,5.0,4.0,7,3.0,4.0,1.0,1055.0,24.0,1.0,0
271,50.0,5,14.0,2.0,4,0.0,4.0,1.0,2407.0,98.0,1.0,0
272,27.0,1,14.0,4.0,9,3.0,4.0,1.0,0.0,35.0,1.0,0
273,30.0,3,9.0,0.0,9,3.0,4.0,0.0,0.0,40.0,1.0,0
274,43.0,3,9.0,2.0,5,0.0,2.0,1.0,0.0,40.0,1.0,0
275,44.0,3,10.0,2.0,2,0.0,4.0,1.0,7298.0,40.0,1.0,1
276,35.0,3,10.0,4.0,3,1.0,4.0,0.0,0.0,40.0,1.0,0
277,25.0,3,10.0,4.0,12,3.0,4.0,0.0,0.0,40.0,1.0,0
278,24.0,3,10.0,2.0,6,5.0,4.0,0.0,7298.0,48.0,1.0,1
279,22.0,3,13.0,4.0,9,1.0,4.0,0.0,0.0,15.0,0.0,0
280,42.0,1,10.0,2.0,2,0.0,4.0,1.0,5178.0,40.0,1.0,1
281,34.0,3,12.0,0.0,11,4.0,2.0,0.0,0.0,45.0,1.0,0
282,60.0,3,13.0,0.0,9,1.0,4.0,0.0,0.0,42.0,1.0,0
283,21.0,3,9.0,4.0,5,3.0,4.0,1.0,0.0,40.0,1.0,0
284,57.0,0,14.0,2.0,11,0.0,4.0,1.0,15024.0,40.0,1.0,1
285,41.0,3,15.0,2.0,9,0.0,4.0,1.0,0.0,60.0,1.0,1
286,50.0,3,10.0,0.0,7,1.0,4.0,1.0,0.0,45.0,1.0,0
287,25.0,3,13.0,4.0,3,1.0,4.0,0.0,0.0,40.0,1.0,0
288,50.0,3,4.0,2.0,2,0.0,4.0,1.0,0.0,40.0,0.0,0
289,36.0,3,13.0,2.0,9,0.0,4.0,1.0,0.0,45.0,1.0,0
290,31.0,3,9.0,0.0,9,1.0,4.0,0.0,0.0,40.0,1.0,0
291,29.0,1,13.0,4.0,10,1.0,4.0,1.0,0.0,56.0,1.0,0
292,21.0,3,10.0,4.0,11,3.0,4.0,1.0,0.0,45.0,1.0,0
293,27.0,3,13.0,4.0,12,4.0,2.0,0.0,0.0,40.0,1.0,0
294,65.0,3,9.0,2.0,13,0.0,4.0,1.0,0.0,16.0,1.0,0
295,37.0,4,13.0,0.0,11,1.0,4.0,0.0,0.0,60.0,1.0,0
296,39.0,3,14.0,2.0,9,5.0,1.0,0.0,3464.0,40.0,0.0,0
297,24.0,3,9.0,4.0,2,3.0,4.0,1.0,0.0,40.0,1.0,0
298,38.0,3,9.0,0.0,11,1.0,4.0,1.0,0.0,80.0,1.0,0
299,48.0,3,13.0,2.0,0,0.0,4.0,1.0,7688.0,40.0,1.0,1
300,21.0,3,10.0,4.0,7,1.0,1.0,0.0,0.0,25.0,1.0,0
301,31.0,3,9.0,2.0,13,0.0,4.0,1.0,0.0,45.0,1.0,1
302,55.0,3,9.0,2.0,11,0.0,4.0,1.0,4386.0,40.0,1.0,1
303,24.0,3,10.0,2.0,0,5.0,1.0,0.0,0.0,40.0,0.0,0
304,43.0,3,9.0,0.0,0,1.0,4.0,0.0,0.0,40.0,1.0,0
305,26.0,3,12.0,4.0,12,1.0,4.0,1.0,0.0,45.0,1.0,0
306,46.0,3,12.0,4.0,9,1.0,4.0,0.0,0.0,33.0,1.0,0
307,35.0,3,12.0,2.0,0,0.0,4.0,1.0,0.0,40.0,1.0,1
308,41.0,4,10.0,2.0,4,0.0,4.0,1.0,0.0,54.0,1.0,1
309,26.0,3,13.0,4.0,11,1.0,4.0,1.0,0.0,40.0,1.0,0
310,34.0,3,14.0,2.0,3,0.0,1.0,1.0,7298.0,35.0,0.0,1
311,19.0,3,10.0,4.0,8,3.0,2.0,0.0,0.0,25.0,1.0,0
312,36.0,5,13.0,0.0,9,1.0,2.0,0.0,0.0,40.0,1.0,1
313,22.0,3,10.0,4.0,11,3.0,4.0,1.0,0.0,15.0,1.0,0
